id,dienbienca,nhanvien
c429d214,42a4d568,1b836613
c1649d9f,42a4d568,09659890
01740063,42a4d568,1e6859b8
16e9b4ab,958a4edf,a6e2979c
2cb34b18,7c4c211e,21827101
df1effba,7c4c211e,09659890
9c2952a1,22428631,f769d378
03cf8f9e,1eb6fb31,2414884e
a58a4f5c,6e7b3dd1,1
42ce2ead,6e7b3dd1,ffd07042
3e8d4021,7fdff1a7,040b166c
8342628c,bb99c0de,582a3bed
b76be7e0,bb99c0de,3d911504
2f0b1edb,ff87734b,a6e2979c
c1917224,1721f7ce,a782b548
4d4c97e1,1721f7ce,09659890
0bf5b754,68857936,1
"6,11E+06",a5e90498,1
a988a7a0,f2094b50,a6e2979c
7f65302f,f2094b50,a398f65d
a14f407d,f2094b50,90dd3817
491d6cd1,f2094b50,2aeb599d
45b880ff,f2094b50,93d7a4f0
2825d1b8,f2094b50,370fea39
4a3a5a21,b49d43a4,a6e2979c
b06990ed,0f43252a,a782b548
"8,33E+14",0f43252a,09659890
64b700a1,36b271b1,2414884e
cddba62a,1df9d272,a782b548
8424e0b7,eb30481b,2a776990
49e42cac,eb30481b,3bf3960f
407f5f8d,385325fe,a6e2979c
2ec64228,2763c3bf,09659890
faa45bde,2763c3bf,040b166c
c486da34,a4e27e65,1
42b38e1b,205aa8b5,1
ea764a00,1cbdaece,1
5d2e0778,bd03d1d4,040b166c
26de8c28,f1e353a1,2414884e
7495346a,18c2dd5c,a782b548
87518a14,890fea3f,1
eca00501,68bbb775,2
2d71c8a8,68bbb775,1e6859b8
4d5b9039,d6051317,d6c4ddf3
0607c443,d6051317,ead9d531
9463b2aa,1f7086f9,79f5ae44
7a399abb,1f7086f9,2
57a91a21,1f7086f9,d8a65191
599977a1,2424b6eb,6eb760de
46499d06,7b2c97fd,6eb760de
9be4603f,97a53722,6eb760de
e43e64ba,8690d3a6,6eb760de
e4366bb0,cf09f5ff,6eb760de
60cb915b,e1c48f6c,6eb760de
7883d07c,e87f7298,6eb760de
